TaxID	Kaiju	Kraken	CLARK
1	33	NA	NA
1	NA	NA	NA
10	NA	NA	NA
1002918	10	NA	NA
1002918	NA	NA	NA
10116	13992	NA	NA
10116	NA	1705	NA
10116	NA	NA	1717
10116	NA	NA	NA
101564	NA	NA	5
10359	1	NA	NA
10359	NA	NA	NA
1042878	1	NA	NA
1042878	NA	NA	NA
105219	1	NA	NA
105219	NA	NA	NA
1069082	20	NA	NA
1069082	NA	NA	NA
1074863	1	NA	NA
1074863	NA	NA	NA
1074864	28	NA	NA
1074864	NA	NA	NA
1074865	352	NA	NA
1074865	NA	NA	NA
1076	1	NA	NA
1076	NA	NA	2
1076	NA	NA	NA
1079	NA	20	NA
1079	NA	NA	39
1079	NA	NA	NA
1080068	1	NA	NA
1080068	NA	NA	NA
1089138	2	NA	NA
1089138	NA	NA	NA
11	NA	NA	NA
110662	4	NA	NA
110662	NA	NA	NA
1107	1	NA	NA
1107	NA	NA	NA
1108810	536	NA	NA
1108810	NA	NA	NA
1109743	1	NA	NA
1109743	NA	NA	NA
1112204	3	NA	NA
1112204	NA	NA	NA
1118964	1	NA	NA
1118964	NA	NA	NA
1123519	1	NA	NA
1123519	NA	NA	NA
1125847	NA	NA	1
1150861	2	NA	NA
1150861	NA	NA	NA
1173025	1	NA	NA
1173025	NA	NA	NA
1178516	1	NA	NA
1178516	NA	NA	NA
1193974	1819	NA	NA
1193974	NA	NA	NA
1196647	1	NA	NA
1196647	NA	NA	NA
12	NA	NA	NA
12058	4570	NA	NA
12058	NA	NA	NA
12059	1563	NA	NA
12059	NA	NA	NA
1210908	2	NA	NA
1210908	NA	NA	NA
12131	73803	NA	NA
12131	NA	NA	NA
1223566	1	NA	NA
1223566	NA	NA	NA
1239	2	NA	NA
1239	NA	NA	NA
1245469	2	NA	NA
1245469	NA	NA	NA
1249634	2	NA	NA
1249634	NA	NA	NA
1262452	1	NA	NA
1262452	NA	NA	NA
1264579	10	NA	NA
1264579	NA	NA	NA
1267562	5	NA	NA
1267562	NA	NA	NA
1267766	1	NA	NA
1267766	NA	NA	NA
1268	1	NA	NA
1268	NA	NA	NA
1274631	2	NA	NA
1274631	NA	NA	NA
1282	NA	NA	1
128780	7	NA	NA
128780	NA	NA	NA
13	NA	NA	NA
1300344	1	NA	NA
1300344	NA	NA	NA
1313172	1	NA	NA
1313172	NA	NA	NA
131567	776	NA	NA
131567	NA	NA	NA
1315974	1	NA	NA
1315974	NA	NA	NA
1330521	2523	NA	NA
1330521	NA	NA	NA
1337877	NA	NA	3449
1348114	2	NA	NA
1348114	NA	NA	NA
1349767	1	NA	NA
1349767	NA	NA	NA
13687	4	NA	NA
13687	NA	NA	NA
1376	1	NA	NA
1376	NA	NA	NA
138948	3	NA	NA
138948	NA	66	NA
138948	NA	NA	NA
138949	597	NA	NA
138949	NA	NA	NA
138950	497	NA	NA
138950	NA	NA	NA
138951	1918	NA	NA
138951	NA	NA	NA
14	NA	NA	NA
1404	1	NA	NA
1404	NA	NA	NA
1408281	1	NA	NA
1408281	NA	NA	NA
1434123	1	NA	NA
1434123	NA	NA	NA
1437605	1	NA	NA
1437605	NA	NA	NA
1449976	1	NA	NA
1449976	NA	NA	NA
145261	14	NA	NA
145261	NA	NA	NA
1455609	8	NA	NA
1455609	NA	NA	NA
1457153	1	NA	NA
1457153	NA	NA	NA
1471542	1	NA	NA
1471542	NA	NA	NA
147711	443	NA	NA
147711	NA	NA	NA
147712	NA	3326	NA
147712	NA	NA	NA
1483602	2	NA	NA
1483602	NA	NA	NA
15	NA	NA	NA
150829	NA	NA	1
1525	1	NA	NA
1525	NA	NA	NA
1536769	1	NA	NA
1536769	NA	NA	NA
1564506	1	NA	NA
1564506	NA	NA	NA
157783	3	NA	NA
157783	NA	NA	NA
16	NA	NA	NA
161492	1	NA	NA
161492	NA	NA	NA
1618207	2	NA	NA
1618207	NA	NA	NA
161896	1	NA	NA
161896	NA	NA	NA
1630693	NA	NA	5
1632864	1	NA	NA
1632864	NA	NA	NA
1650660	1	NA	NA
1650660	NA	NA	NA
1678128	NA	NA	1
17	NA	NA	NA
1702287	31	NA	NA
1702287	NA	31	NA
1702287	NA	NA	8
1702287	NA	NA	NA
1736675	NA	NA	6
1752064	1	NA	NA
1752064	NA	NA	NA
1760	1	NA	NA
1760	NA	NA	NA
18	NA	NA	NA
1805714	12	NA	NA
1805714	NA	88	NA
1805714	NA	NA	23
1805714	NA	NA	NA
1813	1	NA	NA
1813	NA	NA	NA
1821621	1	NA	NA
1821621	NA	NA	NA
1826059	2	NA	NA
1826059	NA	NA	NA
1841249	1	NA	NA
1841249	NA	NA	NA
1841863	NA	NA	1
1847	1	NA	NA
1847	NA	NA	NA
1849328	1	NA	NA
1849328	NA	NA	NA
1853130	NA	NA	1
1883	1	NA	NA
1883	NA	NA	NA
1898684	17	NA	NA
1898684	NA	41	NA
1898684	NA	NA	41
1898684	NA	NA	NA
19	NA	NA	NA
1901	1	NA	NA
1901	NA	NA	NA
1903412	1	NA	NA
1903412	NA	NA	NA
1907	10	NA	NA
1907	NA	NA	NA
1926	1	NA	NA
1926	NA	NA	NA
1933906	NA	NA	1
1933907	35	NA	NA
1933907	NA	NA	NA
193462	1	NA	NA
193462	NA	NA	NA
197	NA	NA	9
2	NA	NA	NA
20	NA	NA	NA
2004	1	NA	NA
2004	NA	NA	NA
2041	1	NA	NA
2041	NA	NA	NA
204457	2	NA	NA
204457	NA	NA	NA
2045	3	NA	NA
2045	NA	NA	NA
21	NA	NA	NA
212035	NA	NA	2
2157	56	NA	NA
2157	NA	NA	NA
2173	NA	NA	46
22	NA	NA	NA
2207	23	NA	NA
2207	NA	NA	NA
2209	593	NA	NA
2209	NA	NA	NA
221988	1	NA	NA
221988	NA	NA	NA
222136	1	NA	NA
222136	NA	NA	NA
2235	1	NA	NA
2235	NA	NA	NA
224756	1	NA	NA
224756	NA	NA	NA
225848	1	NA	NA
225848	NA	NA	NA
227290	6	NA	NA
227290	NA	NA	NA
2285	60	NA	NA
2285	NA	NA	NA
23	NA	NA	NA
2371	2	NA	NA
2371	NA	NA	12
2371	NA	NA	NA
24	NA	NA	NA
246969	1	NA	NA
246969	NA	NA	NA
247523	2	NA	NA
247523	NA	NA	NA
25	NA	NA	NA
251221	1	NA	NA
251221	NA	NA	NA
26	NA	NA	NA
263531	1	NA	NA
263531	NA	NA	NA
264445	1	NA	NA
264445	NA	NA	NA
27	NA	NA	NA
272123	1	NA	NA
272123	NA	NA	NA
272558	1	NA	NA
272558	NA	NA	NA
272624	6	NA	NA
272624	NA	NA	NA
28	NA	NA	NA
28211	214	NA	NA
28211	NA	NA	NA
286	61	NA	NA
286	NA	NA	NA
287	NA	NA	20
288000	1	NA	NA
288000	NA	NA	1
288000	NA	NA	NA
288681	1	NA	NA
288681	NA	NA	NA
28890	2	NA	NA
28890	NA	NA	NA
29	NA	NA	NA
294	NA	87	NA
294	NA	NA	2
294	NA	NA	NA
29449	NA	NA	1
29542	33	NA	NA
29542	NA	NA	NA
296591	NA	NA	1
3	NA	NA	NA
30	NA	NA	NA
300	NA	19	NA
300	NA	NA	19
300	NA	NA	NA
31	NA	NA	NA
310907	2	NA	NA
310907	NA	NA	NA
312540	3	NA	NA
312540	NA	NA	NA
314146	2519	NA	NA
314146	NA	NA	NA
314275	NA	31	NA
314275	NA	NA	11
314275	NA	NA	NA
314722	NA	33	NA
314722	NA	NA	31
314722	NA	NA	NA
316055	1	NA	NA
316055	NA	NA	NA
316056	1	NA	NA
316056	NA	NA	NA
317	NA	NA	1
31989	1	NA	NA
31989	NA	NA	NA
32	NA	NA	NA
323097	1	NA	NA
323097	NA	NA	NA
329	NA	23	NA
329	NA	NA	23
329	NA	NA	NA
33	NA	NA	NA
330	10	NA	NA
330	NA	22	NA
330	NA	NA	22
330	NA	NA	NA
338966	1	NA	NA
338966	NA	NA	NA
34	NA	NA	NA
349221	1	NA	NA
349221	NA	NA	NA
35	NA	NA	NA
35296	2013	NA	NA
35296	NA	NA	NA
357	8	NA	NA
357	NA	NA	NA
359	14	NA	NA
359	NA	13	NA
359	NA	NA	13
359	NA	NA	NA
36	NA	NA	NA
364745	1068	NA	NA
364745	NA	NA	NA
366394	1	NA	NA
366394	NA	NA	NA
367189	NA	NA	304
369723	1	NA	NA
369723	NA	NA	NA
37	NA	NA	NA
370323	NA	NA	7
373994	2	NA	NA
373994	NA	NA	NA
374	2	NA	NA
374	NA	NA	NA
38	NA	NA	NA
384676	1	NA	NA
384676	NA	NA	NA
39	NA	NA	NA
395492	4	NA	NA
395492	NA	NA	NA
39960	1	NA	NA
39960	NA	NA	NA
4	NA	NA	NA
40	NA	NA	NA
403833	1	NA	NA
403833	NA	NA	NA
403957	1	NA	NA
403957	NA	NA	NA
41	NA	NA	NA
42	NA	NA	NA
43	NA	NA	NA
44	NA	NA	NA
446466	1	NA	NA
446466	NA	NA	NA
45	NA	NA	NA
450851	1	NA	NA
450851	NA	NA	NA
451	2	NA	NA
451	NA	NA	NA
45243	1	NA	NA
45243	NA	NA	NA
45989	1	NA	NA
45989	NA	NA	NA
46	NA	NA	NA
463676	2	NA	NA
463676	NA	NA	NA
464095	10	NA	NA
464095	NA	NA	NA
469371	3	NA	NA
469371	NA	NA	NA
47	NA	NA	NA
471854	1	NA	NA
471854	NA	NA	NA
47681	1	NA	NA
47681	NA	NA	NA
479435	4	NA	NA
479435	NA	NA	NA
483219	1	NA	NA
483219	NA	NA	NA
492670	1	NA	NA
492670	NA	NA	NA
498761	1	NA	NA
498761	NA	NA	NA
5	NA	NA	NA
507754	NA	NA	148
521	NA	NA	4
528191	1	NA	NA
528191	NA	NA	NA
530564	1	NA	NA
530564	NA	NA	NA
54262	NA	NA	6
571915	1	NA	NA
571915	NA	NA	NA
582	1	NA	NA
582	NA	NA	NA
6	NA	NA	NA
64141	3	NA	NA
64141	NA	NA	NA
644282	1	NA	NA
644282	NA	NA	NA
644295	1	NA	NA
644295	NA	NA	NA
644966	1	NA	NA
644966	NA	NA	NA
649831	1	NA	NA
649831	NA	NA	NA
653045	1	NA	NA
653045	NA	NA	NA
656024	1	NA	NA
656024	NA	NA	NA
669041	1	NA	NA
669041	NA	NA	NA
671223	1	NA	NA
671223	NA	NA	NA
68570	NA	NA	5
698738	1	NA	NA
698738	NA	NA	NA
698968	1	NA	NA
698968	NA	NA	NA
699035	1	NA	NA
699035	NA	NA	NA
7	NA	NA	NA
70255	NA	NA	1
710685	1	NA	NA
710685	NA	NA	NA
71518	NA	NA	21
71999	1	NA	NA
71999	NA	17	NA
71999	NA	NA	17
71999	NA	NA	NA
759620	NA	NA	1
767031	1	NA	NA
767031	NA	NA	NA
8	NA	NA	NA
80854	9	NA	NA
80854	NA	NA	NA
81479	NA	NA	2
83986	5	NA	NA
83986	NA	NA	NA
84531	1	NA	NA
84531	NA	NA	NA
869212	1	NA	NA
869212	NA	NA	NA
875328	1	NA	NA
875328	NA	NA	NA
880072	1	NA	NA
880072	NA	NA	NA
9	NA	NA	NA
901	2	NA	NA
901	NA	NA	NA
921	NA	NA	2
928289	2191	NA	NA
928289	NA	NA	NA
936456	NA	NA	1
942	1	NA	NA
942	NA	NA	NA
94695	1	NA	NA
94695	NA	NA	NA
9606	23962	NA	NA
9606	NA	83858	NA
9606	NA	NA	83882
9606	NA	NA	NA
